"","sample_key","metal","site","analyst","X","conc_blanked","conc_blanked_error","conc_unblanked","conc_unblanked_error"
"1",10,"As75","F","CYT",3,920.037174309796,173.635693379938,1067.70835007654,32.5951837482951
"2",10,"Cd111","F","CYT",4,40.8421187771616,20.3384208048711,56.7337271292126,10.5510773726177
"3",10,"Cd114","F","CYT",6,38.8329713921961,21.0528684181681,59.2587711478951,2.19893733703718
"4",10,"Cr52","F","CYT",5,3107.30578179694,232.103054484593,4771.88485390636,169.286550355973
"5",10,"Cr53","F","CYT",1,3146.83406014348,268.817094280861,4835.50319493035,198.389146021285
"6",10,"Pb208","F","CYT",2,26271.7410281376,2373.61875206786,27686.9780954878,624.138869228476
"7",12,"As75","F","DJHR",13,3950.60613068987,199.227274372003,4086.59782426748,124.492421162854
"8",12,"Cd111","F","DJHR",15,91.8958153305169,19.8035735140087,106.530538202103,11.6935093165398
"9",12,"Cd114","F","DJHR",17,111.215500970955,19.9844550677872,130.025800862128,5.40819873839449
"10",12,"Cr52","F","DJHR",14,12552.507248859,391.898922578925,14085.4328583061,386.097799751351
"11",12,"Cr53","F","DJHR",18,12819.0205984073,400.24589269121,14374.1309599219,387.044884526028
"12",12,"Pb208","F","DJHR",16,112571.981786697,3420.15595617972,113875.286135724,2716.4444258716
"13",13,"As75","QC","DJHR",24,13221.2438827355,848.050479317004,13359.3953318166,834.027318638285
"14",13,"Cd111","QC","DJHR",22,2303.23709411584,215.850067488307,2318.10423870695,215.321300650063
"15",13,"Cd114","QC","DJHR",20,2513.77426159998,100.2993171115,2532.88329774219,98.6292495885328
"16",13,"Cr52","QC","DJHR",23,53810.0528114881,1709.11535036977,55367.3236175739,1727.93589905112
"17",13,"Cr53","QC","DJHR",21,55014.3616940128,1492.15026601599,56594.1695798642,1512.52593694493
"18",13,"Pb208","QC","DJHR",19,1176486.80069258,75889.5642823919,1177810.80350242,75870.2475930634
"19",14,"As75","D","CAG",27,2414.86477196511,193.39094623106,2574.02245409417,61.3943248973592
"20",14,"Cd111","D","CAG",28,150.034849581657,20.5517764480824,167.162576353538,8.51556156850148
"21",14,"Cd114","D","CAG",30,244.882649774308,23.718995314771,266.89725707915,7.53461602705681
"22",14,"Cr52","D","CAG",26,16314.951772221,449.481887915582,18109.0090448193,436.250931695954
"23",14,"Cr53","D","CAG",29,16878.1254535849,459.733687595106,18698.1466187179,437.838797799523
"24",14,"Pb208","D","CAG",25,149275.064409626,3953.87102086533,150800.384771796,3111.69654508284
"25",15,"As75","QC","CAG",36,15431.3478188943,366.166919035064,15592.2488870265,318.409685527515
"26",15,"Cd111","QC","CAG",34,2585.93106040786,76.8911275776792,2603.24640136663,74.7564016466076
"27",15,"Cd114","QC","CAG",31,2852.31298259907,68.128828585357,2874.56873414356,64.5841975879843
"28",15,"Cr52","QC","CAG",32,62542.3470641901,1499.92354996034,64356.0561330208,1518.17317291897
"29",15,"Cr53","QC","CAG",35,64519.0945835114,1416.56043533787,66359.0519489109,1434.10748239594
"30",15,"Pb208","QC","CAG",33,1378179.27358654,29148.4525661883,1379721.30204683,29070.0914345187
"31",16,"As75","F","JHV",40,5747.51786841638,210.925469822899,5890.75122376368,133.488959939821
"32",16,"Cd111","F","JHV",39,120.195677771534,19.4409066056743,135.609710837303,9.73560410995876
"33",16,"Cd114","F","JHV",41,149.468919527675,21.3741555087387,169.280882285269,6.83034503834886
"34",16,"Cr52","F","JHV",37,19006.3848288329,558.139307217596,20620.939900269,560.032191483366
"35",16,"Cr53","F","JHV",42,19276.0849533705,527.782707274585,20914.0061319016,523.630324485163
"36",16,"Pb208","F","JHV",38,158570.548734532,4434.45166100755,159943.255037682,3861.71063468944
"37",17,"As75","QC","JHV",48,15531.858054068,422.392508216128,15673.465039602,392.082779264449
"38",17,"Cd111","QC","JHV",46,2633.39653705987,111.432644488193,2648.63554861603,110.355863879493
"39",17,"Cd114","QC","JHV",44,2799.69249697076,74.4502966931496,2819.27950110687,72.0649549601852
"40",17,"Cr52","QC","JHV",43,62980.784440847,1841.10494603174,64577.0067459823,1860.53825050589
"41",17,"Cr53","QC","JHV",45,64956.2241581422,1643.51448790373,66575.5472555572,1664.4791622122
"42",17,"Pb208","QC","JHV",47,1361706.71611408,33402.0959149711,1363063.83576781,33356.7901429713
"43",18,"As75","D","SJB",51,2640.09142401494,184.622135368097,2779.28652282762,92.1500238882048
"44",18,"Cd111","D","SJB",52,120.078472984425,38.1622974562805,135.057929763113,34.4816531939871
"45",18,"Cd114","D","SJB",50,224.13538418667,21.1877739048337,243.388777413615,7.93907586176444
"46",18,"Cr52","D","SJB",49,14691.6809035547,535.43590790479,16260.7159384607,531.804867102058
